TP14,104.80,55.92,0.00,TPTP20R,TP20R
TP15,87.92,69.96,0.00,TPTP20R,TP20R
TP16,28.84,28.96,0.00,TPTP20R,TP20R
TP17,97.52,3.23,0.00,TPTP20R,TP20R
TP2,12.81,71.96,0.00,TPTP20R,TP20R
TP3,147.67,63.92,0.00,TPTP20R,TP20R
TP4,25.59,2.04,0.00,TPTP20R,TP20R
TP5,22.61,2.19,0.00,TPTP20R,TP20R
TP6,7.48,68.19,0.00,TPTP20R,TP20R
TP7,27.35,37.84,0.00,TPTP20R,TP20R
TP8,4.20,102.09,0.00,TPTP20R,TP20R
TP9,97.64,5.36,0.00,TPTP20R,TP20R
U1,39.44,55.70,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.21,54.78,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.06,54.97,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,142.02,61.20,180.00,MAX17048G+T10,SON50P200X200X80-9N
U5,137.03,55.21,0.00,MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
